commodity,bucket,gbp,has_t1,n_cells,n_countries,dupe_pct,dupe_partner,dupe_pct_ub,host_share,dupe_partner_ub,place_article,name_article,fold_candidate
"Tea — Red, In Bottles : Still",DUPE-FAM,297906,0,12,12,75,"Tobacco — Red, In Bottles, Still",75,75,"Tobacco — Red, In Bottles, Still",,,
"Dye Woods — Earthware, Not Being China Or Porcelain Ware",DUPE-FAM,290370,0,10,6,60,"Earthenware, Not Being China Or Porcelain Ware",60,60,"Earthenware, Not Being China Or Porcelain Ware",,,
"Quicksilver, Metallic — Linens And Cotton Rags",DUPE-FAM,287100,0,9,9,100,Pyrites Of Iron Or Copper Or Sulphur — Linen And Cotton Rag,100,100,Pyrites Of Iron Or Copper Or Sulphur — Linen And Cotton Rag,,,
Pyrites Of Iron Or Copper Or Sulphur — Linen And Cotton Rag,DUPE-FAM,287100,0,9,9,100,"Quicksilver, Metallic — Linens And Cotton Rags",100,100,"Quicksilver, Metallic — Linens And Cotton Rags",,,
Cheese — From Australasia,DUPE-FAM,283531,0,6,4,0,,67,67,Cheese,,,
Tin,DUPE-FAM,276171,0,5,9,100,Lates,100,100,Lates,,,"Tin — In Blocks, Ingots, Bars, Or Slabs"
Metal — Factured,DUPE-FAM,274997,0,25,25,64,"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",68,32,"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",,,
Paper — Printed,DUPE-FAM,253368,0,7,7,57,Paper — Printed Or Coated,57,57,Paper — Printed Or Coated,,,Paper — Printed Or Coated
Oil — From British North America,DUPE-FAM,251290,0,3,3,33,Nuts And Kernels — Whale Fisheries,100,100,Oil — Fish : Train Or Blubber,,,
"Fish (Including Turtle) — Fresh (Not Of British Taking) : Shell Fish, Oysters",DUPE-FAM,250964,0,4,4,100,Shell Fish : Oysters,100,100,Shell Fish : Oysters,,,
Dye Woods: Logwood — Unenumerated,DUPE-FAM,244196,1,18,19,89,Dye Woods — Unenumerated,89,89,Dye Woods — Unenumerated,,,
"Skins, Furs, And Pelts — From British Possessions In South Africa",DUPE-FAM,243536,0,5,4,0,,80,80,"Skins And Furs — Goat, Undressed",,,
"Woollen Manufactures — Alpaca, Vicuña, And Llama",DUPE-FAM,242468,0,3,3,0,,100,100,"Wool — Alpaca, Vicuña, And Llama",,,
Brimston,DUPE-FAM,242203,0,7,8,86,Brimstone,86,86,Brimstone,,,
"China, Or Porcelain, And Earthenware — Fresh (Not Of British Taking) : Herrings",DUPE-FAM,238954,0,8,4,50,Fresh (Not Of British Taking) — Herrings,100,75,Fresh (Not Of British Taking) — Herrings,,,
"Glass — Other Plate, Whether Silvered Ornot",DUPE-FAM,237809,0,5,6,0,,100,100,"Glass — Plate, Whether Silvered Or Not",,,
"Animals, Living — Stallions : Mares",DUPE-FAM,227842,0,22,15,91,Mares,91,91,Mares,,,
"Eggs — Shell Fish, Oysters For Food",DUPE-FAM,226650,1,4,4,0,,75,75,Fish (Including Turtle) — Shell Fish Of All Sorts,,,
Gum — Dutch Possessions In The Indian Seas,DUPE-FAM,226226,0,44,11,41,Glass — Dutch Possessions In The Indian Seas,68,64,Glass — Dutch Possessions In The Indian Seas,,,
Ammunition — Unenumerated,DUPE-FAM,220741,0,45,12,64,"Animals, Living — Unenumerated",64,53,"Animals, Living — Unenumerated",,,
"Onions — One, Unenumerated",DUPE-FAM,218841,0,14,18,0,,79,79,"Onions — Raw · Oil, Unenumerated",,,
"Ammunition — Rockets And Other Combustibles   For Purposes Of War, Explosives,   Percussion Caps, And Ammu-   Nition Unenumerated",DUPE-FAM,211429,0,18,10,67,"Ammunition — Rockets And Other Combustibles For Purposes Of War, Explosives, Percussion Caps, And Ammunition Not Otherwise Enumerated Or Described",67,67,"Ammunition — Rockets And Other Combustibles For Purposes Of War, Explosives, Percussion Caps, And Ammunition Not Otherwise Enumerated Or Described",,,
Farinaceous Substances — Tow Or Codilla Of,DUPE-FAM,200434,0,5,5,0,,80,80,Tow,,,
"Bones — Books, Bound Or Unbound, Includingmaps And Charts",DUPE-FAM,191815,0,9,9,0,,100,100,Books,,,
"Ivory — Teeth, Elephants', Sea Cow. Seahorse, Or Sea Morse",DUPE-FAM,188302,0,5,6,0,,80,80,"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",,,
Sago And Sago Flour — From British East Indies,DUPE-FAM,186202,0,1,2,0,,100,100,Sago,,,
Gum — From Australasia,DUPE-FAM,182485,0,3,4,0,,67,67,Kowrie,,,
"Arms, And Ammunition — Muskets, Rifles, Carbines, Fowling Pieces, Orguns Of Any Other Sorts, Not Enumerated,And Pistols",DUPE-FAM,179432,0,8,5,0,,100,62,"Animals, Living — Muskets, Rifles, Carbines, Fowling Pieces, Or Guns Of Any Other Sorts Not Enumerated, And Parts Thereof, And Pistols",,,
"Stationery Other Than Paper — Tusk, Elephants, Sea Cow, And Sea Horse",DUPE-FAM,171383,0,3,3,100,"Teeth, Elephants', Sea Cow, And Sea Horse",100,100,"Teeth, Elephants', Sea Cow, And Sea Horse",,,
"Bones (Except Whalebone), Whether Burnt Or Not, Or As Animal Charcoal — Brass, Bronze, And Metal Bronzed Or Lacquered. Manufactures Of, Unenumerated",DUPE-FAM,170981,0,7,7,86,"Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Not Otherwise Enumerated",86,86,"Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Not Otherwise Enumerated",,,
"Horns, Tips And Pieces Thereof, And Hoofs",DUPE-FAM,162021,0,18,25,72,"Horns, Tips And Pieces Of Horns And Hoofs",89,89,"Horns, Tips And Pieces Of Horns And Hoofs",,,
"Stationery, Other Than Paper, In- Cluding Ink",DUPE-FAM,161405,0,7,7,57,"Stationery, Other Than Paper, Including Ink",71,57,"Stationery, Other Than Paper, Including Ink",,,
Boxes (Except Whalefins): Applicable To Manufacturing Purposes,DUPE-FAM,157955,0,17,13,0,,59,59,Bones (Except Whalefins) — Applicable To Manufacturing Pur- Poses,,,
"Glass — Unenumerated Vegetable Sub- Stances, Applicable To The Same Uses As Hemp Or Flax",DUPE-FAM,157669,0,20,7,70,Tow,70,70,Tow,,,
Cotton Manufactures — From British East Indies,DUPE-FAM,155280,0,4,1,0,,100,100,Other Than Muslins,,,
"Meat, Unenumerated — Preserved : Mutton",DUPE-FAM,154818,0,8,10,62,Preserved Otherwise Than By Salting — Mutton,62,62,Preserved Otherwise Than By Salting — Mutton,,,
Eggs — British East-Indies,DUPE-FAM,150492,0,41,9,85,Farinaceous Substances And Manufactures Thereof,85,78,Farinaceous Substances And Manufactures Thereof,,,
"Paraffine — Perfumery, And Articles Used In Themanufacture Thereof",DUPE-FAM,144439,0,10,8,0,,60,60,"Perfumery, And Articles Used In The Manufacture Thereof",,,
"Straw — Succades, Including All Fruits Andvegetables Preserved In Sugar",DUPE-FAM,143263,0,9,9,0,,100,100,Succades,,,
"Tobacco — White, In Bottles: Sparkling : Moselle",DUPE-FAM,142401,0,12,3,58,Tobacco — Moselle,58,58,Tobacco — Moselle,,,
"Cannon And Mortars, Mounted Or Accompanied With Carriages — Muskets, Rifles, Carbines, Fowling Pieces, Or Guns Of Any Other Sorts, Not Enumerated, And Pistols",DUPE-FAM,131628,0,4,4,0,,75,75,"Arms, And Ammunition — Muskets, Rifles, Carbines, Fowling Pieces, Orguns Of Any Other Sorts, Not Enumerated,And Pistols",,,
"Bell — Scld (Other Than Iron Or Copper), Fit Only For Re-Manufacture",DUPE-FAM,130097,0,7,7,100,"Metal — Gold (Other Than Iron Or Copper), Fit Only For Re-Manufacture",100,100,"Metal — Gold (Other Than Iron Or Copper), Fit Only For Re-Manufacture",,,
Paraffine — Perfumed Spirits,DUPE-FAM,130092,0,11,12,82,"Perfumery, And Articles Used In The Manufacture Thereof, Except Perfumed Spirits",100,100,"Perfumery, And Articles Used In The Manufacture Thereof, Except Perfumed Spirits",,,
"Petroleum — Pickles And Vegetables, Preserved Insalt Or Vinegar",DUPE-FAM,129878,0,5,3,0,,80,80,"Pickles And Vegetables, Preserved In Salt Or Vinegar",,,
"Ammunition — Cannon And Mortars, And Parts Thereof",DUPE-FAM,128069,0,19,6,89,"Swords, Cutlasses, Matchets, Bayonets",89,53,"Swords, Cutlasses, Matchets, Bayonets",,,
"Ore, Unenumerated — Native Islands In The Indian Seas",DUPE-FAM,126220,0,7,9,14,"Ore, Unenumerated",86,86,"Ore, Unenumerated",,,
Spices — From East Coast Of Africa,DUPE-FAM,125415,0,3,3,67,"Spices — Dutch Possessions, India",100,67,"Spices — Dutch Possessions, India",,,
"Cotton — Skins, Unenumerated, Un-Dressed",DUPE-FAM,123483,0,111,28,56,"Skins, And Furs — Skins, Unenumerated, Undressed",68,51,"Skins, And Furs — Skins, Unenumerated, Undressed",,,
"Leather, Undressed — Amelled",DUPE-FAM,122784,0,6,7,100,"Varnished, Japanned Or Enamelled",100,100,"Varnished, Japanned Or Enamelled",,,
Metal — Of Other Sorts,DUPE-FAM,121926,0,35,16,86,Oil-Seed Cake — Of Other Sorts,86,86,Oil-Seed Cake — Of Other Sorts,,,Metal — Wrought Or Manufactured
Stationery Other Than Paper — Sugars (Including All Fruits And Vegetables Preserved In Sugar),DUPE-FAM,120524,0,3,3,100,Succades,100,100,Succades,,,
Paraffine — Manufacture Thereof,DUPE-FAM,113830,0,11,11,100,"Perfumery, And Articles Used In The Manufacture Thereof",100,100,"Perfumery, And Articles Used In The Manufacture Thereof",,,
"Metal — Unenumerated: Unwrought : Old, Fit Only To Be Re-Manufactured",DUPE-FAM,105456,0,10,21,100,"Old, Fit Only To Be Re-Manufactured",100,100,"Old, Fit Only To Be Re-Manufactured",,,
Metal — Napitha (Crude),DUPE-FAM,105060,0,4,4,100,Naphtha (Crude),100,100,Naphtha (Crude),,,
Straw — From British East Indies,DUPE-FAM,102668,0,3,3,0,,100,100,Succades,,,
"Hats Or Bonnets — Unenumerated Vegetable Sub-Stances, Applicable To The Sameuses As Flax And Hemp",DUPE-FAM,98549,0,3,3,0,,100,100,"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",,,
Honey — Eastern Coast Of Africa,DUPE-FAM,97561,0,8,16,100,"Horns, Tips And Pieces Of Horns And Hoofs",100,100,"Horns, Tips And Pieces Of Horns And Hoofs",,,
Silk Manufactures — To British India,DUPE-FAM,97561,0,2,2,100,Silk Manufactures — Broad Stuffs,100,100,Silk Manufactures — Broad Stuffs,,,
"Beef — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re- Manufactured",DUPE-FAM,94014,0,10,15,60,Metal — Factured,70,30,Metal — Factured,,,
"Hemp — Unnumbered Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",DUPE-FAM,89956,0,13,13,23,"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",85,85,"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",,,
Iron — Eastern Coast Of Africa,DUPE-FAM,89494,0,3,7,100,Ivory,100,100,"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",,,
Dye Woods — West Africa,DUPE-FAM,87388,0,8,8,100,Dye Woods,100,100,Dye Woods,,,
Chicory — Champagne : Saumur,DUPE-FAM,78096,0,1,2,0,,100,100,Saumur,,,
"Fish — Train, Or Blubber : Sperm, Or Head Matter",DUPE-FAM,74479,0,4,10,75,"Oil — Fish: Sperm, Or Head Matter",75,75,"Oil — Fish: Sperm, Or Head Matter",,,
Window Glass,DUPE-FAM,73685,0,5,5,0,,80,80,Isinglass,,,"Glass — Window And German Sheet, Including Shades And Cylinders"
"Skins, And Furs — Pepper",DUPE-FAM,69753,0,25,14,64,Slates — Pepper,64,56,Slates — Pepper,,,
Tin — Whalerone (Whalefins),DUPE-FAM,69316,0,5,6,80,Whalebone (Whalefins),80,80,Whalebone (Whalefins),,,
Cotton — From British East Indies,DUPE-FAM,69314,0,4,4,0,,100,75,Waste Of,,,
Bristles — From British East Indies,DUPE-FAM,68602,0,4,4,0,,100,100,Bristles,,,
"Tea — White, In Bottles: Sparkling : Saumur",DUPE-FAM,67952,0,1,2,100,Saumur,100,100,Saumur,,,
Copper — British North America,DUPE-FAM,67693,0,1,1,0,,100,100,Regulus And Precipitate,,,
"Methylic Alcohol, Not Potable",DUPE-FAM,66063,0,10,7,70,"Manufactures Of Iron And Steel — Methylic Alcohol, Not Purified So As To Be Potable",80,70,"Manufactures Of Iron And Steel — Methylic Alcohol, Not Purified So As To Be Potable",,,"Methylic Alcohol, Not Purified So As To Be Potable"
Animals Living — From Australasia,DUPE-FAM,65948,0,1,2,0,,100,100,"Animals, Living — Sheep And Lambs",,,
Tobacco — Champagne : Saumur,DUPE-FAM,63872,0,1,2,100,Saumur,100,100,Saumur,,,
"Tobacco — White, In Bottles: Sparkling : Saumur",DUPE-FAM,62825,0,1,2,100,Saumur,100,100,Saumur,,,
"Iron — Steel, Unw Ought",DUPE-FAM,60407,0,4,8,75,Steel — Unwrought,75,75,Steel — Unwrought,,,
"Collodion — Confectionery, In The Manufacture Ofwhich Spirit Has Been Used",DUPE-FAM,60313,0,14,6,0,,100,100,"Confectionery, In The Manufacture Of Which Spirit Has Been Used",,,
Wood And Timber — From East Coast Of Africa,DUPE-FAM,58264,0,3,3,33,Wood And Timber,100,100,Wood And Timber — Teak,,,
"Pyrites Of Iron Or Copper — Sauces Or Condiments, Unenu- Merated",DUPE-FAM,56309,0,12,12,92,"Sauces Or Condiments, Unenumerated",92,92,"Sauces Or Condiments, Unenumerated",,,
Leather — From British East Indies,DUPE-FAM,55103,0,1,1,0,,100,100,"Skins, Furs, And Pelts — Undressed",,,
"Lates — Manufactures Of, Unenumerated",DUPE-FAM,52491,0,20,5,60,Tin — Manufactures Of,60,35,Tin — Manufactures Of,,,
"Skins, Furs, And Pelts — Whalepins",DUPE-FAM,50364,0,5,5,80,Whalefins,80,80,Whalefins,,,
"Fish (Including Turtle) — Fresh (Not Of British Taking) : Shell Fish, Other Sorts",DUPE-FAM,50174,0,7,7,43,Fish (Including Turtle) — Shell Fish Of All Sorts,86,71,Fish (Including Turtle) — Other Sorts Of Shell Fishst,,,
"Sugar — Manufactures Of, Unenumerated",DUPE-FAM,50026,0,13,5,69,"Tin — Manufactures Of, Unenumerated",69,38,"Tin — Manufactures Of, Unenumerated",,,
Chicory — Plums (French) And Prunelloes,DUPE-FAM,49763,0,1,2,100,"Plums, French, And Pruneloes",100,100,"Plums, French, And Pruneloes",,,
"Tea — White, In Bottles: Sparkling : Hock",DUPE-FAM,45660,0,2,2,100,Hock,100,100,Hock,,,
"Rags, And Other Materials For Making Paper — Sauces Or Condiments, Unenu- Merated",DUPE-FAM,44665,0,11,11,0,,82,82,"Sauces Or Condiments, Unenumerated",,,
"Wine — White, In Bottles : Sparkling : Hock",DUPE-FAM,42734,0,2,2,100,Hock,100,100,Hock,,,
"Tobacco — White, In Bottles, Still : Burgundy",DUPE-FAM,40994,0,10,2,60,Tobacco — Burgundy,70,60,Tobacco — Burgundy,,,
"Spirits — Unenumerated, Sweetened Or Mixed (Tested) : Not Tested, For Ascertaining The Strength",DUPE-FAM,40205,0,12,8,67,"Spirits — Not Tested, For Ascertaining The Strength",100,100,"Spirits — Not Tested, For Ascertaining The Strength",,,
Tobacco — Burgundy : Hock,DUPE-FAM,40001,0,2,2,100,Hock,100,100,Hock,,,
Bark — West Africa,DUPE-FAM,39434,0,8,8,75,"Dye Stuffs, And Substances Used In Tanning",75,75,"Dye Stuffs, And Substances Used In Tanning",,,
Confectionery — From British East Indies,DUPE-FAM,38355,0,6,3,0,,100,100,Confectionery,,,
"Tobacco — White, In Bottles: Sparkling : Hock",DUPE-FAM,37974,0,2,2,100,Hock,100,100,Hock,,,
Lead — From Australasia,DUPE-FAM,35182,0,10,5,0,,60,60,Lead — Ore Of,,,
Tobacco — Burgundy : Moselle,DUPE-FAM,35025,0,3,3,100,Tobacco — Moselle,100,100,Tobacco — Moselle,,,
"Fairnessware, Not Being China Or Porcelain Ware",DUPE-FAM,34716,0,2,2,0,,100,100,"Earthenware, Not Being China Or Porcelain Ware",,,
Glass — From British East Indies,DUPE-FAM,34663,0,2,2,0,,100,100,Isinglass,,,
"Meat, Unenumerated — Unenumerated; Unwrought : Old, Fit Only To Be Re-Manufactured",DUPE-FAM,33751,0,2,2,0,,100,100,"Meat, Unenumerated — Old, Fit Only To Be Re-Manufactured",,,
Chicory — Champagne : Hock,DUPE-FAM,32706,0,3,3,33,Hock,100,100,Hock,,,
Fruit — Arabia,DUPE-FAM,32499,0,7,7,0,,100,100,"Fruit — Unenumerated, Dried",,,
"Copper, Ore Of — British North America",DUPE-FAM,30617,0,1,1,0,,100,100,"Copper, Ore Of",,,
Chicory — Champagne : Moselle,DUPE-FAM,30342,0,4,5,25,Tobacco — Moselle,100,100,Tobacco — Moselle,,,
"Cocoa — Cocoa Or Chocolate, Ground, Prepared Or In Anywaymanufactured",DUPE-FAM,29991,0,4,2,0,,100,100,"Cocoa — Cocoa Or Chocolate, Ground, Prepared Orin Any Way Manufactured",,,
"Oil — Fish : Spermaceti, Or Head Mutton",DUPE-FAM,29489,0,3,7,100,Oil — Spermaceti Or Head Matter,100,100,Oil — Spermaceti Or Head Matter,,,
Paraffine — Total From British East Indies,DUPE-FAM,28816,0,1,2,0,,100,100,Paraffine,,,
"Coals, Gum, And Cinders",DUPE-FAM,28452,0,3,3,100,"Coals, Coal, And Cinders",100,100,"Coals, Coal, And Cinders",,,
"Coals, Coal, And Cinders",DUPE-FAM,28452,0,3,3,100,"Coals, Gum, And Cinders",100,100,"Coals, Gum, And Cinders",,,
Paraffine — From British East Indies,DUPE-FAM,27039,0,3,3,0,,100,100,Paraffine,,,
Petroleum — Unrefined,DUPE-FAM,25748,0,3,2,67,"Sugar — Unrefined, Total",67,67,"Sugar — Unrefined, Total",,,
"Arms, And Ammunition — Swords, Cutlasses, Matchets, Bayonets, Gunbarrels, Gun Locks, And Cannon And Mortarsof Iron, Not Mounted Nor Accompanied Withcarriages",DUPE-FAM,25094,0,4,4,0,,100,100,"Arms, And Ammunition — Swords, Cutlasses, Matchets, Bayonets, Gun Barrels, Gun Locks, And Cannon And Mortars Of Iron, Not Mounted Nor Accompanied With Carriages",,,
"Animals, Living — Swords, Cutlasses, Bayonets",DUPE-FAM,25088,0,7,9,86,"Swords, Cutlasses, Matchets, Bayonets",86,71,"Swords, Cutlasses, Matchets, Bayonets",,,
"Coals, Culm, And Cinders — From Australasia",DUPE-FAM,24807,0,4,3,0,,75,75,"Coals, Cinders, &C — Coals And Culm",,,
"Arms — Cannon And Mortars, And Parts     Thereof",DUPE-FAM,24444,0,5,5,80,"Ammunition — Cannon And Mortars, And Parts Thereof",80,60,"Ammunition — Cannon And Mortars, And Parts Thereof",,,
Dye Woods — From British East Indies,DUPE-FAM,23245,0,4,4,100,Dye Woods,100,100,Dye Woods,,,
"Plants, Shrubs, Trees, And Flower Roots — Plate Of Silver, Gilt Or Ungilt",DUPE-FAM,22359,0,7,7,86,"Plate — Of Silver, Gilt Or Ungilt",86,86,"Plate — Of Silver, Gilt Or Ungilt",,,
"Cocoa — Cocoa Or Chocolate, In The Manufactureof Which Spirit Has Been Used",DUPE-FAM,19488,0,8,5,0,,75,75,"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",,,
Total — British North America,DUPE-FAM,18223,0,4,4,0,,75,75,"Metal — Leaf, Not Gold",,,
Manures — From British North America,DUPE-FAM,18170,0,4,2,0,,100,75,Phosphate Of Lime And Rock,,,
"Coals, Gulm. And Cinders",DUPE-FAM,17378,0,4,5,100,"Coals, Cinders, &C — Coals And Culm",100,100,"Coals, Cinders, &C — Coals And Culm",,,
"Dye Stuffs, And Substances Used In Tanning — Madder, Madder Root, Guaiacine And Munjeet",DUPE-FAM,15853,0,4,4,100,"Bark — Madder, Madder Root, Guancine And Munjeet",100,100,"Bark — Madder, Madder Root, Guancine And Munjeet",,,
"Bark — Madder, Madder Root, Guancine And Munjeet",DUPE-FAM,15853,0,4,4,100,"Dye Stuffs, And Substances Used In Tanning — Madder, Madder Root, Guaiacine And Munjeet",100,100,"Dye Stuffs, And Substances Used In Tanning — Madder, Madder Root, Guaiacine And Munjeet",,,
"Mutton, Fresh — .. British North America",DUPE-FAM,15830,0,1,1,0,,100,100,Notton. Fresh,,,
Alkali — British North America,DUPE-FAM,14938,0,1,1,0,,100,100,Alkali,,,
Manures — From British East Indies,DUPE-FAM,14805,0,2,2,0,,100,100,Manures — Bones For Manure,,,
Tallow And Stearine — From British East Indies,DUPE-FAM,11913,0,1,1,0,,100,100,Tallow And Stearine,,,
Lead — From British Possessions In South Africa,DUPE-FAM,11223,0,1,2,0,,100,100,Lead — Ore Of,,,
Alkali — From British North America,DUPE-FAM,11199,0,1,1,0,,100,100,Alkali,,,
Cement — To United States Of America,DUPE-FAM,10533,0,1,1,0,,100,100,Cement,,,
Oil Seed-Cake — From British East Indies,DUPE-FAM,10081,0,1,1,0,,100,100,Oil Seed Cake — Linseed Cake,,,
Honey — From Australasia,DUPE-FAM,9724,0,5,3,0,,100,100,Honey,,,
"Tobacco — Red, In Bottles : Sparkling : Burgundy",DUPE-FAM,8054,0,2,3,0,,100,100,"Tobacco — White, In Bottles, Still : Burgundy",,,
Spirits — From Australasia,DUPE-FAM,6366,0,2,2,0,,100,100,Fruit — Brandy,,,
Tin — Not Containing Spirit,DUPE-FAM,5695,0,3,3,100,Watches,100,100,Watches,,,
"Arms And Ammunition — Swords, Outlasses, Matchets, Bayonets",DUPE-FAM,5527,0,3,4,100,"Swords, Cutlasses, Matchets, Bayonets",100,100,"Swords, Cutlasses, Matchets, Bayonets",,,
"Cards, Playing — Transparent In The Manufacture Of Which Spirit Has Been Used",DUPE-FAM,3421,0,26,6,54,Fruit — Transparent In The Manufacture Of Which Spirit Has Been Used,54,50,Fruit — Transparent In The Manufacture Of Which Spirit Has Been Used,,,
"Arms :Swords, Cutlasses, Matchets, Bayonets",DUPE-FAM,3408,1,2,4,100,"Swords, Cutlasses, Matchets, Bayonets",100,100,"Swords, Cutlasses, Matchets, Bayonets",,,
Fish — From Australasia,DUPE-FAM,3340,0,1,1,0,,100,100,"Flax, Dressed Or Undressed",,,
"Plate — Soap, Transparent, In The Manufacture Ofwhich Spirit Has Been Used",DUPE-FAM,3332,0,4,2,0,,100,100,"Soap, Transparent, In The Manufacture Of Which Spirit Has Been Used",,,
